name,code,average income,median age
"Dickinson, ND",31000US19860,72099.0,35.0
"Dixon, IL",31000US19940,52379.0,42.2
"Dodge City, KS",31000US19980,50777.0,30.9
"Dothan, AL",31000US20020,40596.0,40.4
"Douglas, GA",31000US20060,33965.0,35.2
"Dover, DE",31000US20100,54976.0,37.0
"Dublin, GA",31000US20140,32594.0,38.7
"DuBois, PA",31000US20180,42257.0,43.9
"Dubuque, IA",31000US20220,54605.0,38.8
"Duluth, MN-WI",31000US20260,48905.0,40.9
"Dumas, TX",31000US20300,49802.0,31.1
"Duncan, OK",31000US20340,43781.0,40.1
"Dunn, NC",31000US20380,46353.0,33.6
"Durango, CO",31000US20420,60278.0,38.8
"Durant, OK",31000US20460,38847.0,37.1
"Durham-Chapel Hill, NC Metro Area",31000US20500,53295.0,36.1
"Dyersburg, TN",31000US20540,42468.0,40.3
"Eagle Pass, TX",31000US20580,33747.0,29.9
"Easton, MD",31000US20660,58228.0,49.0
"East Stroudsburg, PA Metro Area",31000US20700,57365.0,41.8
"Eau Claire, WI",31000US20740,50611.0,36.3
"Edwards, CO",31000US20780,72214.0,35.6
"Effingham, IL",31000US20820,52224.0,38.9
"El Campo, TX",31000US20900,45176.0,37.3
"El Centro, CA",31000US20940,41079.0,32.2
"El Dorado, AR",31000US20980,38678.0,39.7
"Elizabeth City, NC",31000US21020,46386.0,40.0
"Elizabethtown-Fort Knox, KY Metro Area",31000US21060,49458.0,36.3
"Elk City, OK",31000US21120,48601.0,34.7
"Elkhart-Goshen, IN",31000US21140,47913.0,35.2
"Elkins, WV Micro Area",31000US21180,39457.0,43.2
"Elko, NV",31000US21220,71462.0,33.8
"Ellensburg, WA",31000US21260,46458.0,33.0
"Elmira, NY",31000US21300,50320.0,40.9
"El Paso, TX Metro Area",31000US21340,41578.0,31.6
"Emporia, KS",31000US21380,40021.0,32.5
"Enid, OK",31000US21420,48238.0,36.2
"Enterprise, AL Micro Area",31000US21460,46729.0,38.8
"Erie, PA",31000US21500,45971.0,38.8
"Escanaba, MI",31000US21540,42031.0,46.4
"Espanola, NM Micro Area",31000US21580,36098.0,40.1
"Eugene, OR Metro Area",31000US21660,44103.0,39.3
"Eureka-Arcata-Fortuna, CA",31000US21700,42197.0,37.4
"Evanston, WY",31000US21740,56569.0,34.6
"Evansville, IN-KY",31000US21780,47583.0,39.1
"Fairbanks, AK",31000US21820,71068.0,30.4
"Fairfield, IA Micro Area",31000US21840,42899.0,42.5
"Fairmont, WV",31000US21900,43165.0,41.1
"Fallon, NV",31000US21980,47415.0,38.9
"Fargo, ND-MN",31000US22020,54590.0,32.0
"Faribault-Northfield, MN",31000US22060,59598.0,36.4
"Farmington, MO",31000US22100,39741.0,38.9
"Farmington, NM",31000US22140,48671.0,34.2
"Fayetteville, NC Metro Area",31000US22180,43861.0,31.2
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",31000US22220,49147.0,33.6
"Fergus Falls, MN",31000US22260,52365.0,46.7
"Fernley, NV",31000US22280,47255.0,43.2
"Findlay, OH",31000US22300,50895.0,39.2
"Fitzgerald, GA",31000US22340,29994.0,38.6
"Flagstaff, AZ",31000US22380,50234.0,30.8
"Flint, MI Metro Area",31000US22420,42327.0,39.6
"Florence, SC",31000US22500,40345.0,38.9
"Florence-Muscle Shoals, AL",31000US22520,42381.0,41.5
"Fond du Lac, WI",31000US22540,55473.0,41.0
"Forest City, NC",31000US22580,35630.0,43.3
"Forrest City, AR",31000US22620,32105.0,37.5
"Fort Collins, CO Metro Area",31000US22660,59805.0,35.5
"Fort Dodge, IA",31000US22700,42408.0,39.7
"Fort Leonard Wood, MO",31000US22780,47931.0,26.8
"Fort Madison-Keokuk, IA-IL-MO Micro Area",31000US22800,44745.0,44.0
"Fort Morgan, CO",31000US22820,48450.0,36.4
"Fort Polk South, LA",31000US22860,46312.0,30.0
"Fort Smith, AR-OK",31000US22900,38589.0,38.2
"Fort Wayne, IN Metro Area",31000US23060,49901.0,36.3
"Frankfort, IN",31000US23140,48478.0,38.4
"Frankfort, KY",31000US23180,50025.0,40.5
"Fredericksburg, TX",31000US23240,54859.0,50.6
"Freeport, IL",31000US23300,45331.0,44.3
"Fremont, NE",31000US23340,49068.0,39.4
"Fremont, OH",31000US23380,47209.0,41.3
"Fresno, CA Metro Area",31000US23420,45233.0,31.4
"Gadsden, AL",31000US23460,39220.0,40.8
"Gaffney, SC",31000US23500,35389.0,38.8
"Gainesville, FL",31000US23540,42710.0,31.3
"Gainesville, GA",31000US23580,51202.0,35.6
"Gainesville, TX",31000US23620,52406.0,39.6
"Galesburg, IL",31000US23660,39976.0,42.1
"Gallup, NM",31000US23700,28772.0,30.8
"Garden City, KS",31000US23780,49388.0,30.6
"Gardnerville Ranchos, NV",31000US23820,58535.0,49.4
"Georgetown, SC",31000US23860,42835.0,47.5
"Gettysburg, PA Metro Area",31000US23900,60356.0,42.8
"Gillette, WY",31000US23940,80060.0,32.7
"Glasgow, KY",31000US23980,37369.0,41.1
"Glens Falls, NY",31000US24020,53946.0,44.1
"Glenwood Springs, CO Micro Area",31000US24060,59875.0,37.1
"Gloversville, NY",31000US24100,46969.0,42.8
"Goldsboro, NC",31000US24140,40390.0,36.7
"Grand Forks, ND-MN",31000US24220,50366.0,32.0
"Grand Island, NE Metro Area",31000US24260,50633.0,37.5
"Grand Junction, CO",31000US24300,49322.0,38.4
"Grand Rapids-Wyoming, MI Metro Area",31000US24340,53780.0,35.5
"Grants, NM",31000US24380,34565.0,36.2
"Grants Pass, OR Metro Area",31000US24420,37665.0,47.9
"Great Bend, KS",31000US24460,44013.0,39.3
"Great Falls, MT",31000US24500,45205.0,38.0
"Greeley, CO",31000US24540,60572.0,33.9
"Green Bay, WI",31000US24580,53622.0,38.2
"Greeneville, TN",31000US24620,35196.0,43.7
"Greenfield Town, MA Micro Area",31000US24640,55221.0,45.1
"Greensboro-High Point, NC Metro Area",31000US24660,43836.0,38.4
"Greensburg, IN",31000US24700,49799.0,39.5
"Greenville, MS",31000US24740,29144.0,36.2
"Greenville, NC",31000US24780,41119.0,31.5
"Greenville, OH",31000US24820,44632.0,41.8
"Greenville-Anderson-Mauldin, SC Metro Area",31000US24860,45936.0,38.4
"Greenwood, MS",31000US24900,26836.0,35.7
"Greenwood, SC",31000US24940,36623.0,40.1
"Grenada, MS",31000US24980,31779.0,40.4
"Gulfport-Biloxi-Pascagoula, MS Metro Area",31000US25060,44193.0,36.9
"Guymon, OK",31000US25100,50242.0,31.5
"Hagerstown-Martinsburg, MD-WV",31000US25180,55798.0,39.6
"Hailey, ID Micro Area",31000US25200,53013.0,41.4
"Hammond, LA Metro Area",31000US25220,41302.0,34.4
"Hanford-Corcoran, CA",31000US25260,46481.0,31.4
"Hannibal, MO",31000US25300,42464.0,40.9
"Harrisburg-Carlisle, PA Metro Area",31000US25420,57365.0,40.4
"Harrison, AR",31000US25460,38395.0,42.6
"Harrisonburg, VA",31000US25500,48305.0,33.0
"Hartford-West Hartford-East Hartford, CT Metro Area",31000US25540,69869.0,40.5
"Hastings, NE",31000US25580,50635.0,37.8
"Hattiesburg, MS",31000US25620,42062.0,33.3
"Hays, KS",31000US25700,45579.0,32.2
"Heber, UT",31000US25720,66486.0,33.0
"Helena, MT",31000US25740,56935.0,42.0
"Helena-West Helena, AR",31000US25760,26844.0,37.8
"Henderson, NC",31000US25780,33316.0,40.0
"Hereford, TX",31000US25820,43373.0,31.5
"Hermiston-Pendleton, OR Micro Area",31000US25840,48614.0,36.2
"Hickory-Lenoir-Morganton, NC Metro Area",31000US25860,40474.0,41.8
"Hillsdale, MI Micro Area",31000US25880,41961.0,42.0
"Hilo, HI",31000US25900,52108.0,41.1
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",31000US25940,53631.0,41.8
"Hinesville, GA Metro Area",31000US25980,43332.0,28.2
"Hobbs, NM",31000US26020,57533.0,31.8
"Holland, MI Micro Area",31000US26090,54264.0,40.0
"Homosassa Springs, FL Metro Area",31000US26140,38312.0,55.4
"Hood River, OR",31000US26220,55827.0,39.4
"Hot Springs, AR",31000US26300,38733.0,44.1
"Houghton, MI",31000US26340,37779.0,34.1
"Houma-Thibodaux, LA Metro Area",31000US26380,49442.0,35.9
"Houston-The Woodlands-Sugar Land, TX Metro Area",31000US26420,59649.0,33.7
"Hudson, NY",31000US26460,59105.0,46.6
"Huntingdon, PA",31000US26500,44396.0,42.5
"Huntington, IN",31000US26540,46945.0,39.8
"Huntington-Ashland, WV-KY-OH Metro Area",31000US26580,42766.0,41.0
"Huntsville, AL Metro Area",31000US26620,55947.0,38.1
"Huntsville, TX",31000US26660,36738.0,36.7
"Huron, SD",31000US26700,46267.0,39.0
"Hutchinson, KS",31000US26740,45288.0,39.5
"Hutchinson, MN",31000US26780,56128.0,39.9
"Idaho Falls, ID",31000US26820,50621.0,32.4
"Indiana, PA",31000US26860,45195.0,38.9
"Indianapolis-Carmel-Anderson, IN Metro Area",31000US26900,52842.0,36.1
"Indianola, MS",31000US26940,27384.0,34.1
"Ionia, MI Micro Area",31000US26960,49124.0,37.9
"Iowa City, IA",31000US26980,55842.0,31.1
"Iron Mountain, MI-WI",31000US27020,44742.0,47.3
"Ithaca, NY",31000US27060,52624.0,30.2
"Jackson, MI",31000US27100,46326.0,40.5
"Jackson, MS Metro Area",31000US27140,45493.0,35.6
"Jackson, OH Micro Area",31000US27160,39460.0,39.5
"Jackson, TN",31000US27180,41365.0,37.8
"Jackson, WY-ID",31000US27220,68318.0,36.8
"Jacksonville, FL Metro Area",31000US27260,51998.0,37.9
"Jacksonville, IL",31000US27300,46087.0,41.3
"Jacksonville, NC",31000US27340,46335.0,26.1
"Jacksonville, TX",31000US27380,39595.0,37.6
"Jamestown, ND",31000US27420,52359.0,40.6
"Jamestown-Dunkirk-Fredonia, NY",31000US27460,42993.0,41.7
"Janesville-Beloit, WI Metro Area",31000US27500,50324.0,38.9
"Jasper, IN",31000US27540,51822.0,41.7
"Jefferson, GA Micro Area",31000US27600,53379.0,38.3
"Jefferson City, MO",31000US27620,51081.0,38.1
"Jesup, GA",31000US27700,38955.0,37.3
"Johnson City, TN",31000US27740,38991.0,41.2
"Johnstown, PA",31000US27780,42107.0,44.4
"Jonesboro, AR",31000US27860,40827.0,34.8
"Joplin, MO",31000US27900,42255.0,36.7
"Junction City, KS Micro Area",31000US27920,43992.0,26.2
"Juneau, AK",31000US27940,85746.0,37.0
"Kahului-Wailuku-Lahaina, HI Metro Area",31000US27980,66476.0,40.0
"Kalamazoo-Portage, MI Metro Area",31000US28020,47167.0,35.4
"Kalispell, MT",31000US28060,47851.0,42.1
"Kankakee, IL Metro Area",31000US28100,52110.0,37.3
"Kansas City, MO-KS Metro Area",31000US28140,57388.0,36.9
"Kapaa, HI",31000US28180,65101.0,41.6
"Kearney, NE",31000US28260,53460.0,33.5
"Keene, NH",31000US28300,57782.0,42.0
"Kendallville, IN",31000US28340,49331.0,37.9
"Kennett, MO",31000US28380,31077.0,39.8
"Kennewick-Richland, WA Metro Area",31000US28420,59332.0,33.2
"Kerrville, TX",31000US28500,43810.0,47.9
"Ketchikan, AK",31000US28540,64222.0,38.7
"Key West, FL",31000US28580,57290.0,46.8
"Kill Devil Hills, NC",31000US28620,52591.0,44.9
"Killeen-Temple, TX Metro Area",31000US28660,50288.0,30.6
"Kingsport-Bristol-Bristol, TN-VA",31000US28700,39682.0,44.2
"Kingston, NY",31000US28740,58918.0,43.1
"Kingsville, TX",31000US28780,38191.0,28.0
"Kinston, NC",31000US28820,34717.0,42.1
"Kirksville, MO",31000US28860,37514.0,29.9
"Klamath Falls, OR",31000US28900,40336.0,42.5
"Knoxville, TN Metro Area",31000US28940,45660.0,40.4
"Kokomo, IN",31000US29020,44226.0,41.5
